Zuverlässigkeit,U-Bahn,Straßenbahn,Bus,Jahressollwert U-Bahn/Straßenbahn,Jahressollwert Bus
Jan 25,"91,98%","92,60%","95,63%","99,70%","99,80%"
Feb 25,"82,40%","82,78%","88,44%","99,70%","99,80%"
Mrz 25,"79,72%","83,53%","85,90%","99,70%","99,80%"
Apr 25,"91,91%","99,20%","99,19%","99,70%","99,80%"
Mai 25,"93,11%","98,77%","98,94%","99,70%","99,80%"
Jun 25,"93,07%","99,13%","99,07%","99,70%","99,80%"
Jul 25,"92,35%","98,29%","99,22%","99,70%","99,80%"
Aug 25,"93,15%","98,18%","99,37%","99,70%","99,80%"
Sep 25,"92,35%","97,87%","98,94%","99,70%","99,80%"
Okt 25,"95,70%","98,70%","99,10%","99,70%","99,80%"
Nov 25,"95,30%","98,01%","98,94%","99,70%","99,80%"
Dez 25,"96,93%","98,19%","99,17%","99,70%","99,80%"
Jan 26,"97,12%","88,84%","98,63%","99,70%","99,80%"
Feb 26,"86,82%","87,13%","89,40%","99,70%","99,80%"
Mrz 26,"98,86%","98,87%","99,42%","99,70%","99,80%"
Apr 26,"98,46%","99,32%","99,45%","99,70%","99,80%"
Mai 26,"98,37%","99,07%","99,40%","99,70%","99,80%"
Jun 26,"97,33%","98,21%","99,18%","99,70%","99,80%"
