Verfrühungsvermeidung,U-Bahn,Straßenbahn,Bus,Jahressollwert U-Bahn,Jahressollwert Straßenbahn,Jahressollwert Bus
Jan 25,"99,77%","96,32%","91,29%","99,90%","99,00%","98,00%"
Feb 25,"99,79%","96,07%","91,40%","99,90%","99,00%","98,00%"
Mrz 25,"99,78%","96,26%","91,76%","99,90%","99,00%","98,00%"
Apr 25,"99,81%","96,19%","91,71%","99,90%","99,00%","98,00%"
Mai 25,"99,77%","96,27%","92,21%","99,90%","99,00%","98,00%"
Jun 25,"99,78%","96,38%","92,22%","99,90%","99,00%","98,00%"
Jul 25,"99,77%","96,33%","91,96%","99,90%","99,00%","98,00%"
Aug 25,"99,78%","95,92%","91,34%","99,90%","99,00%","98,00%"
Sep 25,"99,75%","96,56%","92,79%","99,90%","99,00%","98,00%"
Okt 25,"99,79%","96,97%","92,34%","99,90%","99,00%","98,00%"
Nov 25,"99,80%","97,27%","92,90%","99,90%","99,00%","98,00%"
Dez 25,"99,73%","96,93%","91,87%","99,90%","99,00%","98,00%"
Jan 26,"99,74%","97,40%","92,17%","99,90%","99,00%","98,00%"
Feb 26,"99,71%","97,07%","91,94%","99,90%","99,00%","98,00%"
Mrz 26,"99,76%","96,92%","91,97%","99,90%","99,00%","98,00%"
Apr 26,"99,73%","96,81%","92,24%","99,90%","99,00%","98,00%"
Mai 26,"99,78%","97,14%","92,38%","99,90%","99,00%","98,00%"
Jun 26,"99,81%","97,02%","91,98%","99,90%","99,00%","98,00%"
