Pünktlichkeit,U-Bahn,Straßenbahn,Bus,Jahressollwert U-Bahn,Jahressollwert Straßenbahn,Jahressollwert Bus
Jan 25,"98,02%","87,13%","88,18%","98,70%","92,30%","88,99%"
Feb 25,"97,94%","87,33%","88,55%","98,70%","92,30%","88,99%"
Mrz 25,"98,00%","86,18%","86,95%","98,70%","92,30%","88,99%"
Apr 25,"97,82%","86,27%","86,65%","98,70%","92,30%","88,99%"
Mai 25,"98,21%","86,29%","85,27%","98,70%","92,30%","88,99%"
Jun 25,"98,45%","85,43%","85,28%","98,70%","92,30%","88,99%"
Jul 25,"98,20%","86,35%","85,94%","98,70%","92,30%","88,99%"
Aug 25,"98,73%","86,94%","89,96%","98,70%","92,30%","88,99%"
Sep 25,"98,13%","85,12%","85,55%","98,70%","92,30%","88,99%"
Okt 25,"97,92%","84,56%","85,93%","98,70%","92,30%","88,99%"
Nov 25,"97,54%","84,23%","84,30%","98,70%","92,30%","88,99%"
Dez 25,"97,93%","87,00%","86,43%","98,70%","92,30%","88,99%"
Jan 26,"97,94%","85,43%","87,06%","98,70%","92,30%","89,40%"
Feb 26,"98,35%","87,12%","87,38%","98,70%","92,30%","89,40%"
Mrz 26,"98,76%","87,51%","87,28%","98,70%","92,30%","89,40%"
Apr 26,"98,71%","87,69%","87,20%","98,70%","92,30%","89,40%"
Mai 26,"98,01%","86,89%","86,18%","98,70%","92,30%","89,40%"
Jun 26,"98,21%","85,38%","85,99%","98,70%","92,30%","89,40%"
