Regelmäßigkeit,U-Bahn,Straßenbahn,Bus,Jahressollwert U-Bahn,Jahressollwert Straßenbahn,Jahressollwert Bus
Jan 25,"90,19%","86,97%","85,58%","98,73%","96,70%","94,40%"
Feb 25,"80,77%","77,78%","79,29%","98,73%","96,70%","94,40%"
Mrz 25,"78,19%","78,32%","76,95%","98,73%","96,70%","94,40%"
Apr 25,"90,32%","92,62%","88,75%","98,73%","96,70%","94,40%"
Mai 25,"91,47%","92,02%","88,14%","98,73%","96,70%","94,40%"
Jun 25,"91,64%","92,51%","88,60%","98,73%","96,70%","94,40%"
Jul 25,"90,75%","91,45%","89,03%","98,73%","96,70%","94,40%"
Aug 25,"92,11%","92,17%","89,83%","98,73%","96,70%","94,40%"
Sep 25,"90,78%","91,48%","88,76%","98,73%","96,70%","94,40%"
Okt 25,"94,07%","92,63%","88,41%","98,73%","96,70%","94,40%"
Nov 25,"93,07%","91,95%","87,91%","98,73%","96,70%","94,40%"
Dez 25,"95,16%","92,76%","88,33%","98,73%","96,70%","94,40%"
Jan 26,"94,92%","83,58%","88,67%","98,90%","96,70%","94,40%"
Feb 26,"84,90%","82,01%","80,57%","98,90%","96,70%","94,40%"
Mrz 26,"97,20%","93,36%","89,44%","98,90%","96,70%","94,40%"
Apr 26,"96,84%","93,91%","89,45%","98,90%","96,70%","94,40%"
Mai 26,"94,25%","93,62%","89,28%","98,90%","96,70%","94,40%"
Jun 26,"95,59%","91,87%","88,70%","98,90%","96,70%","94,40%"
